Year,Primary Enrollment,GDP
2001,1914395.0,19527.3235767954
2002,1933765.0,20117.7888912664
2003,1931817.0,23492.4051742272
2004,1934549.0,30513.9417409748
2005,1934941.0,34080.9998953245
2006,1938861.0,36117.487983674
2007,1973456.0,41001.1429790999
2008,1977837.0,49654.9105957389
2009,1991715.0,42783.3225651148
2010,2015017.0,52087.9722888891
2011,2042081.0,62574.1457032412
2012,2083119.0,68027.8417067378
2013,2127730.0,68156.6279162085
2014,2168531.0,62511.6905895284
2015,2140571.0,56707.0220772116
2016,2179689.0,49881.7637140466
2017,2216779.0,53934.2501750463
2018,2247875.0,57180.7794001614
2019,2263884.0,54875.2859563351
2020,2268891.0,51680.3165229438
